Year,GDP in (Billion) $,Per Capita in rupees,Growth %
2021,3173.4,182160.0,8.95
2020,2667.69,154640.0,-6.6
2019,2831.55,165760.0,3.74
2018,2702.93,159840.0,6.45
2017,2651.47,158480.0,6.8
2014,2039.13,125920.0,7.41
2013,1856.72,116000.0,6.39
2012,1827.64,115520.0,5.46
2011,1823.05,116640.0,5.24
2010,1675.62,108640.0,8.5
2009,1341.89,88160.0,7.86
2008,1198.9,79920.0,3.09
2006,940.26,64560.0,8.06
2005,820.38,57200.0,7.92
2003,607.7,43760.0,7.86
2001,485.44,36160.0,4.82
2000,468.39,35440.0,3.84
1999,458.82,35360.0,8.85
1998,421.35,33040.0,6.18
1997,415.87,33200.0,4.05
1995,360.28,29920.0,7.57
1994,327.28,27680.0,6.66
1992,288.21,25360.0,5.48
1990,320.98,29440.0,5.53
1989,296.04,27680.0,5.95
1988,296.59,28320.0,9.63
1987,279.03,27200.0,3.97
1986,248.99,24800.0,4.78
1985,232.51,23680.0,5.25
1984,212.16,22160.0,3.82
1983,218.26,23280.0,7.29
1981,193.49,21600.0,6.01
1980,186.33,21360.0,6.74
1978,137.3,16480.0,5.71
1977,121.49,14880.0,7.25
1976,102.72,12880.0,1.66
1975,98.47,12640.0,9.15
1974,99.53,13040.0,1.19
1973,85.52,11520.0,3.3
1972,71.46,9840.0,-0.55
1971,67.35,9520.0,1.64
1970,62.42,8960.0,5.16
1969,58.45,8640.0,6.54
1968,53.09,8000.0,3.39
1967,50.13,7680.0,7.83
1966,45.87,7200.0,-0.06
1965,59.55,9520.0,-2.64
1964,56.48,9280.0,7.45
1963,48.42,8080.0,5.99
1961,39.23,6800.0,3.72
1960,37.03,6560.0,0.0
